ClienteCodigo,Potencial
0000464598,P4
0000514201,P4
0000515189,P4
0000388538,P1
0000514779,P4
0000519608,P4
0000515053,P4
0000481861,P2
0000534613,P4
0000496191,P4
0000488584,P4
0000514708,P2
0000295101,P4
0000401975,P3
0000387577,P1
0000412974,P2
0000534110,P1
0000501416,P3
0000510386,P1
0000436181,P1
0000290757,P2
0000430825,P2
0000503421,P4
0000420130,P4
0000460358,P3
0000530577,P2
0000424750,P4
0000508495,P2
0000432965,P4
0000529429,P2
0000520306,P4
0000511966,P4
0000442097,P2
0000494839,P4
0000237922,P3
0000502933,P3
0000531811,P4
0000412823,P3
0000527497,P2
0000521302,P2
0000432306,P4
0000512625,P1
0000264753,P1
0000409486,P3
0000393712,P1
0000433932,P2
0000261527,P1
0000510763,P4
0000446930,P4
0000399798,P2
0000439241,P3
0000521203,P4
0000448359,P2
0000511398,P2
0000530618,P4
0000510478,P4
0000445243,P4
0000489092,P3
0000521227,P4
0000415595,P1
0000267577,P3
0000516543,P4
0000483801,P4
0000429647,P3
0000519090,P4
0000412080,P3
0000455231,P3
0000536947,P3
0000536948,P4
0000536949,P2
0000536950,P4
0000536951,P1
0000536952,P4
0000536953,P2
0000536954,P4
0000536955,P4
0000536957,P4
0000536958,P4
0000536959,P2
0000536960,P4
0000536961,P4
0000536962,P4
0000536963,P2
0000536964,P4
0000536965,P2
0000536966,P3
0000536967,P4
0000536968,P4
0000536969,P4
0000536970,P4
0000536971,P4
0000536972,P4
0000240941,P3
0000533737,P1
0000472587,P4
0000495290,P2
0000422353,P1
0000453529,P4
0000262243,P3
0000470466,P4
0000463872,P3
0000469998,P1
0000403166,P1
0000458623,P1
0000534921,P4
0000249653,P2
0000512677,P3
0000437292,P1
0000501790,P3
0000458888,P3
0000403098,P4
0000440868,P4
0000534175,P4
0000387510,P1
0000508154,P4
0000516302,P3
0000262131,P2
0000534104,P2
0000433861,P3
0000524963,P2
0000441491,P3
0000232041,P4
0000426593,P1
0000523557,P3
0000233837,P1
0000472188,P4
0000294076,P1
0000485848,P4
0000497291,P3
0000370351,P2
0000528955,P3
0000242351,P3
0000475223,P4
0000468991,P4
0000517420,P3
0000531464,P2
0000532953,P1
0000516371,P4
0000491446,P3
0000502763,P4
0000240895,P4
0000466534,P2
0000524487,P3
0000431310,P4
0000489302,P1
0000468340,P1
0000510867,P2
0000478003,P4
0000393868,P2
0000494460,P4
0000449081,P1
0000246773,P3
0000439405,P4
0000522073,P4
0000524975,P2
0000505610,P3
0000487581,P2
0000264289,P4
0000296750,P2
0000442743,P3
0000243665,P1
0000344907,P3
0000260647,P1
0000494029,P2
0000380622,P2
0000242444,P4
0000428042,P3
0000500046,P2
0000444044,P3
0000447978,P4
0000453547,P4
0000479575,P3
0000365085,P2
0000452965,P4
0000437125,P4
0000494321,P2
0000506785,P4
0000392725,P1
0000329262,P2
0000464733,P2
0000512262,P4
0000516635,P1
0000402541,P2
0000523001,P1
0000245275,P2
0000529828,P1
0000370787,P1
0000517421,P4
0000503008,P2
0000526798,P4
0000241732,P2
0000249190,P2
0000327110,P2
0000527355,P2
0000264110,P2
0000523461,P2
0000524055,P1
0000513570,P3
0000299396,P1
0000235199,P3
0000439244,P4
0000481090,P4
0000418024,P1
0000511614,P4
0000471147,P4
0000488064,P3
0000503207,P1
0000449082,P1
0000416564,P2
0000486412,P3
0000509182,P3
0000485651,P4
0000484041,P3
0000531624,P4
0000528640,P4
0000234180,P4
